From, to, distance in meters, calcTime, journeysFound, bestPickDeparture,bestPickTime, worstPickDeparture, worstPickTime
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008831005,101820.6,976,15,2019-09-18T14:55:00,9300,2019-09-18T08:14:00,14220
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008831039,98755.85,732,9,2019-09-18T14:45:00,8880,2019-09-18T13:16:00,10680
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008831088,109904.1,756,13,2019-09-18T13:23:00,11040,2019-09-18T09:46:00,19620
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008831112,96888.6,732,12,2019-09-18T07:07:00,10080,2019-09-18T07:07:00,10080
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008831138,90083.67,713,12,2019-09-18T06:59:00,9660,2019-09-18T06:59:00,9660
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008831310,82655.52,738,12,2019-09-18T06:53:00,9120,2019-09-18T06:53:00,9120
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008831401,117952.5,1108,7,2019-09-18T07:03:00,9660,2019-09-18T07:03:00,9660
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008831765,100546.2,736,14,2019-09-18T15:17:00,10620,2019-09-18T12:46:00,23160
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008831781,101804.9,710,14,2019-09-18T15:12:00,10260,2019-09-18T12:42:00,22800
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008831807,96933.95,705,9,2019-09-18T14:29:00,7980,2019-09-18T13:07:00,10140
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008832003,122549.2,739,15,2019-09-18T15:37:00,11700,2019-09-18T09:37:00,18900
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008832045,130569.3,738,15,2019-09-18T15:41:00,12120,2019-09-18T09:41:00,19320
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008832227,120308,720,15,2019-09-18T15:32:00,11460,2019-09-18T09:32:00,18660
